
index	raw_category	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40
49	bench	bench	154	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01	34	seating
50	wall frame	picture	142	64	11	8	picture	picture	Picture					n03931044	picture.n.01	6	picture
51	trash can	trashcan	131	12	39	6	garbage bin	otherfurniture	Furniture			trash_bin	02747177	n02747177	ashcan.n.01	39	objects
52	fireplace	fireplace	128	372	38	7	fireplace	otherstructure	Objects					n03346455	fireplace.n.01	27	fireplace
53	clothes	clothes	125	141	21	7	clothes	clothes	Objects					n02728440	apparel.n.01	38	clothes
54	pillar	pillar	117	94	38	7	column	otherstructure	Objects					n03073977	column.n.07	24	column
55	bathtub	bathtub	121	136	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	02808440	n02808440	bathtub.n.01	25	bathtub
56	ceiling duct	ceiling duct	110	4	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling
57	bath cabinet	bath cabinet	111	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
58	book	book	104	1	23	2	book	books	Books					n02870526	book.n.11	39	objects
59	beam	beam	101		38	7		otherstructure	Objects					n02815950	beam.n.02	29	beam
60	vent	vent	101	25	38	7	air vent	otherstructure	Objects					n04526241	vent.n.01	40	misc
61	shower floor	shower floor	97	11	2	5	floor	floor	Floor					n04208936	shower.n.01	23	shower
62	faucet	faucet	97	9	40	7	faucet	otherprop	Objects			faucet	03325088	n03325088	faucet.n.01	39	objects
63	photo	photo	100	508	40	7	photo	otherprop	Objects					n03925226	photograph.n.01	6	picture
64	delete	remove	90	0	0	0	void	void	void							0	void
65	toilet paper	toilet paper	90	139	40	7	toilet paper	otherprop	Objects					n15075141	toilet_tissue.n.01	39	objects
66	counter	counter	91	7	12	6	counter	counter	Furniture	table	table	table	04379243	n03116530	counter.n.01	26	counter
67	fan	fan	85	74	40	7	fan	otherprop	Objects					n03320046	fan.n.01	39	objects
68	step	step	86		38	7		otherstructure	Objects					n04314914	step.n.04	16	stairs
69	table lamp	table lamp	96	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n04380533	table_lamp.n.01	28	lighting
70	wall / other room	wall /otherroom	84	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
71	washbasin	washbasin	91	24	34	7	sink	sink	Objects	sink				n04553920	washbasin.n.01	15	sink
72	rail	railing	83	497	38	7	railing	otherstructure	Objects					n04047401	railing.n.01	30	railing
73	side table	table	85	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
74	decor	decoration	79		40	7		otherprop	Objects					n03169390	decoration.n.01	39	objects
75	shelves	shelving	79	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
76	statue	statue	78	294	40	7	sculpture	otherprop	Objects					n04306847	statue.n.01	39	objects
77	dresser	dresser	79	169	17	6	dresser	dresser	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	13	chest_of_drawers
78	stairs	stair	76	215	38	7	stairs	otherstructure	Objects	stairs				n04314914	step.n.04	16	stairs
79	rug	rug	77	130	40	7	rug	floor mat	Objects					n04118021	rug.n.01	2	floor
80	ottoman	ottoman	79	359	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool
81	round table	table	74	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
82	bottle	bottle	101	2	40	7	bottle	otherprop	Objects	bottle		bottle	02876657	n02876657	bottle.n.01	39	objects
83	kitchen counter	kitchen counter	73	7	12	6	counter	counter	Furniture	table	table	table	04379243	n03116530	counter.n.01	26	counter
84	windowframe	window frame	66	59	9	13	window	window	Window					n04589593	window_frame.n.01	9	window
85	office chair	office chair	70	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04373704	swivel_chair.n.01	3	chair
86	frame	frame	66		38	7		otherstructure	Objects							40	misc
87	refrigerator	refrigerator	65	17	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01	37	appliances
88	bookshelf	bookshelf	63	88	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	02871439	n02871439	bookshelf.n.01	31	shelving
89	end table	end table	67	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
90	wardrobe	wardrobe	64	772	39	6	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01	36	furniture
91	toiletry	toiletry	63		40	7		otherprop	Objects					n04447443	toiletry.n.01	39	objects
92	windowsill	window frame	62	59	9	13	window	window	Window					n04589593	window_frame.n.01	9	window
93	pipe	pipe	62	41	40	7	pipe	otherprop	Objects					n03944672	pipe.n.02	40	misc
94	monitor	monitor	60	49	40	7	monitor	otherprop	Objects	monitor	monitor	tv or monitor	03211117	n03782190	monitor.n.04	22	tv_monitor
95	stand	stand	62	50	39	6	stand	otherfurniture	Furniture	table	table	table	04379243	n04301000	stand.n.04	5	table
96	drawers	drawer	60	174	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers
97	dining table	dining table	61	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
98	container	container	59	140	40	7	container	otherprop	Objects					n03094503	container.n.01	39	objects
99	light switch	light switch	59	301	38	7	light switch	otherstructure	Objects					n04372370	switch.n.01	39	objects
100	skylight	skylight	57	59	9	13	window	window	Window					n04232800	skylight.n.01	9	window
101	purse	purse	57	181	40	7	purse	otherprop	Objects					n02774152	bag.n.04	39	objects
102	wall /otherroom	wall /otherroom	55	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
103	sofa	couch	56	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01	10	sofa
104	books	book	53	1	23	2	book	books	Books					n02870526	book.n.11	39	objects
105	doorway	doorway	54	609	38	7	door way	otherstructure	Objects	door				n03224032	doorway.n.01	4	door
106	railing	railing	52	497	38	7	railing	otherstructure	Objects					n04047401	railing.n.01	30	railing
107	wainscotting	paneling	52	21	1	12	wall	wall	Wall					n03882611	paneling.n.01	1	wall
108	basket	basket	52	39	40	7	basket	otherprop	Objects			basket	02801938	n02801938	basket.n.01	39	objects
109	closet	closet	50		40	7		otherprop	Objects					n03148324	cupboard.n.01	7	cabinet
110	arch	arch	48		40	7		otherprop	Objects					n02733524	arch.n.04	40	misc
111	chandelier	chandelier	48	342	38	7	chandelier	otherstructure	Objects					n03005285	chandelier.n.01	28	lighting
112	oven	oven	47	238	38	7	oven	otherstructure	Objects					n03862676	oven.n.01	37	appliances
113	clock	clock	47	56	40	7	clock	otherprop	Objects			clock	03046257	n03046257	clock.n.01	39	objects
114	footstool	footstool	48	359	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool
115	stove	stove	44	242	38	7	stove	otherstructure	Objects			stove	04330267	n04330267	stove.n.02	37	appliances
116	trashcan	trashcan	44	12	39	6	garbage bin	otherfurniture	Furniture			trash_bin	02747177	n02747177	ashcan.n.01	39	objects
117	drawer	drawer	45	174	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers
118	bathroom countertop object	object	43		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
119	washing machine	washing machine	43	278	39	6	washing machine	otherfurniture	Furniture			washing_machine	04554684	n04554684	washer.n.03	37	appliances
120	shower curtain	shower curtain	43	123	28	7	shower curtain	shower curtain	Objects	curtain				n04209239	shower_curtain.n.01	12	curtain
121	rack	rack	41	50	39	6	stand	otherfurniture	Furniture					n04038440	rack.n.05	31	shelving
122	art	picture	40	64	11	8	picture	picture	Picture					n03931044	picture.n.01	6	picture
123	firealarm	fire alarm	37	338	40	7	fire alarm	otherprop	Objects					n03343737	fire_alarm.n.02	39	objects
124	bin	bin	37	307	40	7	bin	otherprop	Objects					n02839910	bin.n.01	39	objects
125	chest	chest	36	344	39	6	chest	otherfurniture	Furniture	dresser	dresser					40	misc
126	microwave	microwave	36	13	40	7	microwave	otherprop	Objects			microwave	03761084	n03761084	microwave.n.02	37	appliances
127	blinds	blinds	36	80	13	13	blinds	blinds	Window					n04589190	window_blind.n.01	32	blinds
128	bowl	bowl	35	22	40	7	bowl	otherprop	Objects	bowl		bowl	02880940	n02880940	bowl.n.03	39	objects
129	ceiling pipe	ceiling pipe	34	4	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling
130	tree	tree	34	82	40	7	plant	otherprop	Objects	plant				n13104059	tree.n.01	14	plant
131	vanity	vanity	34	169	17	6	dresser	dresser	Furniture	dresser	dresser	table	04379243	n03238586	dressing_table.n.01	5	table
132	ceiling fan	ceiling fan	37	74	40	7	fan	otherprop	Objects					n03320046	fan.n.01	39	objects
133	tissue box	tissue box	34	138	40	7	tissue box	otherprop	Objects					n02883344	box.n.01	39	objects
134	desk chair	desk chair	34	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
135	plate	plate	32	233	40	7	plate	otherprop	Objects					n03959485	plate.n.04	39	objects
136	tv stand	tv stand	32	291	39	6	tv stand	otherfurniture	Furniture	tv_stand				n03290653	entertainment_center.n.01	36	furniture
137	shoes	shoe	32	149	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01	39	objects
138	heater	heater	32	111	39	6	heater	otherfurniture	Furniture					n03508101	heater.n.01	39	objects
139	bedframe	bedframe	33	157	4	1	bed	bed	Bed					n02822579	bedstead.n.01	11	bed
140	headboard	headboard	33	161	39	6	headboard	otherfurniture	Furniture					n03502200	headboard.n.01	11	bed
141	post	post	32	94	38	7	column	otherstructure	Objects					n03988170	post.n.04	24	column
142	swivel chair	swivel chair	31	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04373704	swivel_chair.n.01	3	chair
143	pedestal	pedestal	31	50	39	6	stand	otherfurniture	Furniture							40	misc
144	fence	fence	31		38	7		otherstructure	Objects					n03327234	fence.n.01	40	misc
145	ceiling pipes	ceiling pipe	30	4	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling
146	pew	pew	28	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n03920867	pew.n.01	34	seating
147	decorative object	decoration	28		40	7		otherprop	Objects					n03169390	decoration.n.01	39	objects
148	bucket	bucket	28	427	40	7	bucket	otherprop	Objects					n02909870	bucket.n.01	39	objects
149	mask	decorative mask	27		40	7		otherprop	Objects					n03169390	decoration.n.01	39	objects
150	candle	candle	27	137	40	7	candle	otherprop	Objects	lamp				n02948072	candle.n.01	39	objects
151	flowerpot	flowerpot	28	146	40	7	flower pot	otherprop	Objects	flower_pot		flower pot	03991062	n03991062	pot.n.04	39	objects
152	speaker	speaker	27	54	40	7	speaker	otherprop	Objects			speaker	03691459	n03691459	loudspeaker.n.01	39	objects
153	seat	seat	26	524	39	6	furniture	otherfurniture	Furniture					n04161981	seat.n.03	34	seating
154	sign	sign	25	208	40	7	sign	otherprop	Objects					n04217882	signboard.n.01	40	misc
155	air conditioner	air conditioner	26	79	38	7	air conditioner	otherstructure	Objects					n02686379	air_conditioner.n.01	39	objects
156	shower curtain rod	shower curtain rod	25		40	7		otherprop	Objects					n04100174	rod.n.01	12	curtain
157	unknown / other room	unknown /otherroom	24	20	40	7	unknown	otherprop	Objects					n08632096	unknown.n.01	41	unlabeled
158	flowers	plant	25	82	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant
159	clutter	clutter	24		40	7		otherprop	Objects							40	misc
160	pillows	pillow	24	119	18	7	pillow	pillow	Objects			pillow	03938244	n03938244	pillow.n.01	8	cushion
161	plants	plant	24	82	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant
162	wall \other room	wall /otherroom	24	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
163	fire extinguisher	fire extinguisher	24	10	40	7	fire extinguisher	otherprop	Objects					n03345837	fire_extinguisher.n.01	39	objects
164	towels	towel	24	135	27	7	towel	towel	Objects					n04459362	towel.n.01	20	towel
165	curtains	curtain	23	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
166	curtain rod	curtain rod	23	582	38	7	curtain rod	otherstructure	Objects					n04100174	rod.n.01	12	curtain
167	kitchen countertop object	object	23		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
168	mat	mat	23	143	20	5	floor mat	floor mat	Floor					n03727837	mat.n.01	2	floor
169	flower	plant	23	82	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant
170	sculpture	sculpture	23	294	40	7	sculpture	otherprop	Objects					n04157320	sculpture.n.01	39	objects
171	shelving	shelving	22	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
172	wall/other room	wall /otherroom	22	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
173	knickknack	object	21		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
174	printer	printer	21	66	40	7	printer	otherprop	Objects			printer	04004475	n04004475	printer.n.03	39	objects
175	wall behind	wall /otherroom	21	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
176	telephone	telephone	21	32	40	7	telephone	otherprop	Objects			telephone	04401088	n04401088	telephone.n.01	39	objects
177	bedside table	nightstand	21	158	32	6	night stand	night stand	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01	13	chest_of_drawers
178	moulding	molding	21		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
179	handbag	handbag	21		40	7		otherprop	Objects					n02774152	bag.n.04	39	objects
180	wall /other room	wall /otherroom	21	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
181	blanket	blanket	21	312	40	7	blanket	otherprop	Objects					n02849154	blanket.n.01	39	objects
182	shower	shower	21		38	7		otherstructure	Objects					n04208936	shower.n.01	23	shower
183	steps	step	20		38	7		otherstructure	Objects					n04314914	step.n.04	16	stairs
184	switch	switch	21		40	7		otherprop	Objects					n04372370	switch.n.01	39	objects
185	toilet paper dispenser	toilet paper dispenser	20		40	7		otherprop	Objects							40	misc
186	objects	object	21		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
187	handle	handle	20	758	40	7	handle	otherprop	Objects					n03485997	handle.n.01	39	objects
188	frame /outside	frame /outside	20		38	7		otherstructure	Objects							40	misc
189	screen	screen	20	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
190	shower head	showerhead	19	650	40	7	shower head	otherprop	Objects					n04209383	showerhead.n.01	23	shower
191	baracade	barricade	19		40	7		otherprop	Objects					n04096848	roadblock.n.02	40	misc
192	picture frame	picture frame	25	64	11	8	picture	picture	Picture					n03931765	picture_frame.n.01	6	picture
193	soap	soap	19	133	40	7	soap	otherprop	Objects					n04253437	soap.n.01	39	objects
194	staircase railing	banister	18	453	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing
195	keyboard	keyboard	18	47	40	7	keyboard	otherprop	Objects	keyboard		computer keyboard	03085013	n03085013	computer_keyboard.n.01	39	objects
196	thermostat	thermostat	18	110	40	7	thermostat	otherprop	Objects					n04422875	thermostat.n.01	39	objects
197	radiator	radiator	18	236	39	6	radiator	otherfurniture	Furniture					n04041069	radiator.n.02	39	objects
198	kitchen island	kitchen island	18	456	38	7	kitchen island	otherstructure	Objects					n03620600	kitchen_island.n.01	26	counter
199	paper towel	paper towel	18	113	40	7	paper towel	otherprop	Objects					n03887697	paper_towel.n.01	20	towel
200	wall decoration	picture	17	64	11	8	picture	picture	Picture					n03931044	picture.n.01	6	picture
201	phone	telephone	17	32	40	7	telephone	otherprop	Objects			telephone	04401088	n04401088	telephone.n.01	39	objects
202	mirror frame	mirror	17	122	19	7	mirror	mirror	Objects					n03773035	mirror.n.01	21	mirror
203	clothes dryer	clothes dryer	18		39	6		otherfurniture	Furniture					n03251766	dryer.n.01	37	appliances
204	panel	panel	17	559	40	7	sheet	otherprop	Objects					n03882058	panel.n.01	35	board_panel
205	glass	glass	16	612	38	7	glass	otherstructure	Objects					n03438257	glass.n.02	39	objects
206	soap dispenser	soap dispenser	16		40	7		otherprop	Objects					n04254120	soap_dispenser.n.01	39	objects
207	dishwasher	dishwasher	16	8	38	7	dishwasher	otherstructure	Objects			dishwasher	03207941	n03207941	dishwasher.n.01	37	appliances
208	cup	cup	16	35	40	7	cup	otherprop	Objects	cup		cup or mug	03797390	n03797390	mug.n.04	39	objects
209	bathroom cabinet	bathroom cabinet	17	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
210	ladder	ladder	17	48	39	6	ladder	otherfurniture	Furniture	stairs				n03632277	ladder.n.01	16	stairs
211	garage door	garage door	16	850	38	7	garage door	otherstructure	Objects	door						4	door
212	hat	hat	15	193	40	7	hat	otherprop	Objects					n03497657	hat.n.01	38	clothes
213	chest of drawers	chest of drawers	15	524	39	6	furniture	otherfurniture	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	13	chest_of_drawers
214	exit sign	exit sign	15	86	40	7	exit sign	otherprop	Objects							40	misc
215	sidetable	side table	15	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
216	office table	office table	15	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
217	piano	piano	15	298	39	6	piano	otherfurniture	Furniture	piano		piano	03928116	n03928116	piano.n.01	39	objects
218	painter	picture	17	64	11	8	picture	picture	Picture					n03931044	picture.n.01	6	picture
219	board	board	15	408	38	7	board	otherstructure	Objects							35	board_panel
220	windows	window	14	59	9	13	window	window	Window					n04587648	window.n.01	9	window
221	archway	archway	14	21	1	12	wall	wall	Wall					n02734217	arch.n.03	4	door
222	rope	rope	14	560	40	7	rope	otherprop	Objects					n04108268	rope.n.01	39	objects
223	ball	ball	15	60	40	7	ball	otherprop	Objects							40	misc
224	gym equipment	gym equipment	14	457	39	6	excercise equipment	otherfurniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment
225	clothes hangers	clothes hanger	13	211	40	7	hanger	otherprop	Objects					n03057920	coat_hanger.n.01	39	objects
226	bathroom object	object	13		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
227	easy chair	easy chair	13	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03262932	easy_chair.n.01	3	chair
228	lounge chair	lounge chair	15	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03262932	easy_chair.n.01	3	chair
229	furniture	furniture	13	524	39	6	furniture	otherfurniture	Furniture					n03405725	furniture.n.01	36	furniture
230	cabinets	cabinet	16	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
231	carpet	carpet	14	130	40	7	rug	floor mat	Objects					n04118021	rug.n.01	2	floor
232	food	food	13		40	7		otherprop	Objects					n00021265	food.n.01	40	misc
233	plant pot	pot	13	16	40	7	pot	otherprop	Objects					n03991062	pot.n.04	39	objects
234	duct	duct	13		40	7		otherprop	Objects					n03253398	duct.n.03	40	misc
235	ridge	ridge	13		40	7		otherprop	Objects							40	misc
236	candlestick	candlestick	12	148	40	7	candlestick	otherprop	Objects					n02948557	candlestick.n.01	39	objects
237	computer desk	computer desk	12	36	14	10	desk	desk	Table	desk	desk	table	04379243	n03179701	desk.n.01	5	table
238	shower door	shower door	12	28	8	12	door	door	Wall	door				n04208936	shower.n.01	23	shower
239	trash	trashcan	12	12	39	6	garbage bin	otherfurniture	Furniture			trash_bin	02747177	n02747177	ashcan.n.01	39	objects
240	crown molding	molding	12		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
241	wall sconce	sconce	12	62	38	7	light	otherstructure	Objects					n04148703	sconce.n.03	28	lighting
242	door handle	door handle	12	758	40	7	handle	otherprop	Objects							40	misc
243	scale	scale	12	639	40	7	scale	otherprop	Objects					n04141975	scale.n.07	39	objects
244	trash bin	trashcan	12	12	39	6	garbage bin	otherfurniture	Furniture			trash_bin	02747177	n02747177	ashcan.n.01	39	objects
245	baseboard	baseboard	13		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
246	window /otherroom	window /otherroom	12	59	9	13	window	window	Window					n04587648	window.n.01	9	window
247	bag	bag	11	55	37	7	bag	bag	Objects			suitcase	02773838	n02773838	bag.n.06	39	objects
248	laptop	laptop	11	37	40	7	laptop	otherprop	Objects	laptop		laptop	03642806	n03642806	laptop.n.01	39	objects
249	treadmill	treadmill	12	458	39	6	treadmill	otherfurniture	Furniture					n04477387	treadmill.n.01	33	gym_equipment
250	staircase	staircase	11	215	38	7	stairs	otherstructure	Objects					n04298308	stairway.n.01	16	stairs
251	guitar	guitar	11	300	40	7	guitar	otherprop	Objects	guitar		guitar	03467517	n03467517	guitar.n.01	39	objects
252	light fixture	light fixture	11	62	38	7	light	otherstructure	Objects					n03665366	light.n.02	28	lighting
253	pipes	pipe	11	41	40	7	pipe	otherprop	Objects					n03944672	pipe.n.02	40	misc
254	display case	display case	11	540	39	6	display case	otherfurniture	Furniture					n02975212	case.n.20	39	objects
255	weight machine	exercise equipment	10	457	39	6	excercise equipment	otherfurniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment
256	toilet paper holder	toilet paper holder	10	647	40	7	toilet paper holder	otherprop	Objects							40	misc
257	basin	basin	10	24	34	7	sink	sink	Objects	sink				n04223580	sink.n.01	15	sink
258	towel bar	towel bar	10	51	38	7	bar	otherstructure	Objects					n04459909	towel_rail.n.01	39	objects
259	floor behind	floor /otherroom	10	11	2	5	floor	floor	Floor					n03365592	floor.n.01	2	floor
260	wooden chair	chair	10	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
261	potted plant	plant	10	82	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant
262	ceiling / other room	ceiling /otherroom	10	4	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling
263	window sill	window frame	10	59	9	13	window	window	Window					n04589593	window_frame.n.01	9	window
264	floor / other room	floor /otherroom	10	11	2	5	floor	floor	Floor					n03365592	floor.n.01	2	floor
265	cupboard	cabinet	10	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
266	tray	tray	10	179	40	7	tray	otherprop	Objects					n04476259	tray.n.01	39	objects
267	urn	urn	10	151	40	7	urn	otherprop	Objects	vase		jar	03593526	n04516116	urn.n.01	39	objects
268	church seating	pew	10	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n03920867	pew.n.01	34	seating
269	decorative plate	decorative plate	9	383	40	7	decorative plate	otherprop	Objects							40	misc
